"State","Total","WhiteTotal","BlackTotal","IndianTotal","AsianTotal","HawaiianTotal","OtherTotal"
"Alabama","4876250","3320247","1299048","25565","66270","2238","162882"
"Alaska","737068","476015","24205","109751","45920","9204","71973"
"Arizona","7050299","5444453","317462","317414","233213","14458","723299"
"Arkansas","2999370","2301044","459542","20434","45504","8733","164113"
"California","39283496","23453222","2274108","303998","5692423","155290","7404456"
"Colorado","5610349","4712574","233647","54847","178147","8643","422491"
"Connecticut","3575074","2714031","383416","9955","161257","1123","305292"
"Delaware","957248","658237","212302","3729","37009","542","45429"
"District of Columbia","692683","285857","320811","2091","27592","376","55956"
"Florida","20901636","15702256","3359031","59320","571276","12653","1197100"
"Georgia","10403847","6098889","3289020","37440","414481","6233","557784"
"Hawaii","1422094","354847","26025","3710","537355","142997","357160"
"Idaho","1717750","1545409","11918","23136","24287","2755","110245"
"Illinois","12770631","9134903","1813590","33460","698524","4477","1085677"
"Indiana","6665703","5553391","626587","15782","151979","2506","315458"
"Iowa","3139508","2826070","116359","11976","75741","3729","105633"
"Kansas","2910652","2455935","170291","24010","85794","2382","172240"
"Kentucky","4449052","3868479","358928","9386","65191","3182","143886"
"Louisiana","4664362","2892275","1502963","26361","80806","1406","160551"
"Maine","1335492","1259522","18468","8660","15109","396","33337"
"Maryland","6018848","3343003","1799094","16762","378126","3034","478829"
"Massachusetts","6850553","5348538","522357","14764","452436","2804","509654"
"Michigan","9965265","7813755","1374314","53316","311721","3099","409060"
"Minnesota","5563378","4609049","356515","58011","268181","2194","269428"
"Mississippi","2984418","1743217","1125623","14269","29605","680","71024"
"Missouri","6104910","5015904","701334","27084","120654","8231","231703"
"Montana","1050649","930204","5303","66839","8259","807","39237"
"Nebraska","1914571","1666871","92406","17673","45655","1327","90639"
"Nevada","2972382","1949707","271005","38026","242267","20022","451355"
"New Hampshire","1348124","1252128","21546","2036","36180","443","35791"
"New Jersey","8878503","6018074","1194882","19711","840168","3458","802210"
"New Mexico","2092454","1565366","44120","199845","32577","1644","248902"
"New York","19572320","12459687","3065471","79512","1647606","8821","2311222"
"North Carolina","10264876","7049919","2200761","123952","292992","7213","590039"
"North Dakota","756717","655136","21985","40006","11006","863","27721"
"Ohio","11655397","9476047","1446193","22816","258199","3880","448262"
"Oklahoma","3932870","2844070","286356","299621","85239","6260","411324"
"Oregon","4129803","3480920","78679","48060","180580","16625","324939"
"Pennsylvania","12791530","10300602","1430664","24691","436324","4198","595051"
"Puerto Rico","3318447","2188014","386676","6838","6237","269","730413"
"Rhode Island","1057231","850597","71561","5277","35958","810","93028"
"South Carolina","5020806","3372011","1344139","17645","78805","4002","204204"
"South Dakota","870638","733719","17531","76190","12627","504","30067"
"Tennessee","6709356","5205132","1124473","18189","117600","3771","240191"
"Texas","28260856","20903375","3428211","141425","1357273","25292","2405280"
"Utah","3096848","2676482","36849","33721","71977","27554","250265"
"Vermont","624313","587883","8502","2132","10461","325","15010"
"Virginia","8454463","5717617","1621592","23873","541133","6179","544069"
"Washington","7404107","5581128","281683","94449","631333","49090","766424"
"West Virginia","1817305","1691600","66990","3667","14523","419","40106"
"Wisconsin","5790716","4946961","371200","51392","161841","2400","256922"
"Wyoming","581024","531304","5582","14164","5025","596","24353"
